ERROR_TYPE,COUNT,PERCENTAGE
No URI found on contract (even with exact ID),1564,51.91%
Contract/Parse Error: 'function' object has no attribute 'get',216,7.17%
Invalid URI format,169,5.61%
Contract/Parse Error: Expecting value: line 1 column 1 (char 0),135,4.48%
Contract/Parse Error: Returned HTML/CAPTCHA instead of JSON,104,3.45%
"Network Error: HTTPSConnectionPool(host='forgai.io', port=443): Max retries exceeded with url: /nfa/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='forgai.io', port=443): Failed to resolve 'forgai.io' ([Errno -2] Name or service not known)""))",8,0.27%
"Network Error: HTTPSConnectionPool(host='api.dingdong.game', port=443): Max retries exceeded with url: /nft/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.dingdong.game', port=443): Failed to resolve 'api.dingdong.game' ([Errno -2] Name or service not known)""))",6,0.2%
"On-Chain Parse Error: Expecting ',' delimiter: line 1 column 126 (char 125)",5,0.17%
"Network Error: HTTPSConnectionPool(host='nft.loops.finance', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1081)')))",5,0.17%
On-Chain Parse Error: Expecting value: line 1 column 1 (char 0),4,0.13%
"Network Error: HTTPConnectionPool(host='mintnft.kabosu.world', port=80): Max retries exceeded with url: /nft/json/ (Caused by NameResolutionError(""HTTPConnection(host='mintnft.kabosu.world', port=80): Failed to resolve 'mintnft.kabosu.world' ([Errno -2] Name or service not known)""))",4,0.13%
"Network Error: HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /api/rwa/metadata?ref=TX%3Afacility%3A1%3Bserial%3Apending&id=0000000000000000000000000000000000000000000000000000000000000001 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=5000): Failed to establish a new connection: [Errno 111] Connection refused""))",4,0.13%
"Network Error: HTTPSConnectionPool(host='api.icw.gift', port=443): Max retries exceeded with url: /metadata/0000030000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='api.icw.gift', port=443): Failed to resolve 'api.icw.gift' ([Errno -2] Name or service not known)""))",4,0.13%
"Network Error: HTTPSConnectionPool(host='armadex.pages.dev', port=443): Max retries exceeded with url: /nft/collection.json (Caused by NameResolutionError(""HTTPSConnection(host='armadex.pages.dev', port=443): Failed to resolve 'armadex.pages.dev' ([Errno -2] Name or service not known)""))",4,0.13%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/0/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",3,0.1%
Network Error: 404 Client Error: Not Found for url: https://example.com/metadata/1,3,0.1%
Network Error: 404 Client Error: Not Found for url: https://example.com/1,3,0.1%
On-Chain Parse Error: Extra data: line 1 column 14 (char 13),3,0.1%
Network Error: 403 Client Error: Forbidden for url: https://cdn.pixabay.com/,3,0.1%
Network Error: 404 Client Error: Not Found for url: https://smiling-chocolate-beaver.myfilebase.com/ipfs/QmdAY41wV8eg5psFbmGCPJQpMkrKqauJAevXcvZKAnhpk4,3,0.1%
