address,first_seen_block,name,symbol,decimals,total_supply,is_erc721,is_erc1155,detected_type,last_updated_unix,first_seen_txhash,interface_conflict,has_url,found_in,extracted_urls,token_uri,meta_name,meta_description,meta_image,error
0xd4fb4a8baeb56c5e3482069bf603c720bd3df6d5,97965690,Formation DeFi NFT,FORM,,7,1.0,0.0,ERC721,1780456062,0x714436ba765580509dd258c37c2df12264f1625678ad0f682e2e070825ef22c0,False,False,,,https://api.votre-plateforme.com/formations/metadata/decouverte.json,,,,"True Negative: Dead Domain (HTTPSConnectionPool(host='api.votre-plateforme.com', port=443): Max retries exceeded with url: /formations/metadata/deco)"
0xdcc553f39ffb7b6fee073fdaa9626b66bcd3e381,97937838,Bored Collection,BCL,,,0.0,1.0,ERC1155,1780443232,0xb39b9a8b1a89c44d36374a175fd347f5f843875969dd594151712e531210f29e,False,False,,,https://ipfs.io/ipfs/QmfEBcCgLnMqt2DFRSVBJ113Envyn17JsRXeX3AiL1UFqn,,,,True Negative: Skipped host (127.0.0.1)
0xcc18bed2166f5b49e1b61043a2743d338ed8580e,97913481,Sky Genesis NFT,SKTNFT,,,0.0,1.0,ERC1155,1780433599,0x8db4e64eefb207ed149ae33126a1468840be37a60c50f3886865cc986ee7fbdb,False,False,,,ipfs://QmfHX51DaQga6ajjRYENrtpcpZTFfDdPznPSiSo947zpv5/0,,,,True Negative: Skipped host (127.0.0.1)
0xaedb60e610fa5a42aed41db866212a5556b59090,97898969,Bify NFT,BIFY,,1,1.0,0.0,ERC721,1780427572,0xc64a6171922fa5bd794b182467ac54492e8df4751d80589993144b74f39e6cb9,False,False,,,ipfs://bafkreibdyzqf3gd6d3x6w7rtqg5e3wiscwzpbamrtvcxf3kn5mqsah3ge4,,,,True Negative: Skipped host (127.0.0.1)
0xbdf7d0a8a537716feeafdd7f7ab39a87a044c544,97885059,Web3Utils AI Collection,W3U_NFT,,,1.0,0.0,ERC721,1780421211,0xc57911462a5f73d3337ad4bbcfdc550bb094eca308a00631790c3c4de2fee1f1,False,False,,,ipfs://bafkreifgrgnoh4riusktk7kmd7qec3iitjchbtcn4o3xk5by3hfkdzchr4,,,,True Negative: Skipped host (127.0.0.1)
0x5f68630f589abeed2b1ab089c181cac0e6bd705d,97876119,Bored Collection,BCL,,,0.0,1.0,ERC1155,1780417030,0xfc8b48e9849ad7041c6de98e934cf24fe9ffeefe0eda942bccf64354a317c899,False,False,,,https://ipfs.io/ipfs/QmfEBcCgLnMqt2DFRSVBJ113Envyn17JsRXeX3AiL1UFqn,,,,True Negative: Skipped host (127.0.0.1)
0xb05524c899ad511cc4bb7c62039b4831d8cc9960,97846170,Web3Utils AI NFT,W3UAI,,,1.0,0.0,ERC721,1780402704,0x5d53a78d9d5c6b766ceb2d13da6a4e9d861294dfcda347babaa0fbf93e078b21,False,False,,,ipfs://bafkreicj4ym6umjvv5c5k5ey6ujlb3vudgi55loun2dw76l43dvcim6o34,,,,True Negative: Skipped host (127.0.0.1)
0x2bbc9f01d1fdeea31270f3129a9906af550b1830,97837997,大爆炸,大爆炸,,,1.0,0.0,ERC721,1780398737,0x713ca1e46898445eb34c3816904ac4eb09b8cff84fbca97812179d6bded00701,False,False,,,https://gateway.pinata.cloud/ipfs/bafybeifilpt3drvtultceuo7rp3wttgsduyg2spzyeiy3f223v2bffokce/1.json,,,,True Negative: Skipped host (127.0.0.1)
0xb1aa24f625729895e01e5d5349f1d0ec029b3fe8,97836816,BACZ NFT,BNFT,,87,1.0,0.0,ERC721,1780398192,0x2fd631ad1b6d31ff86424019754b8879dc7f2c8417e6a9d236ddf46f519ba7e0,False,False,,,ipfs://bafkreidq4xhnbkoslyasasuxvclb2smwi5xtipel4xm45zp7uhrq7f6mpi,,,,True Negative: Skipped host (127.0.0.1)
0xbd8503797e851487ef82eac44938c8dbbabdf472,97831841,FIFA WORLD CARD,FIFACARD,,24,1.0,0.0,ERC721,1780395743,0x821dbbbdc95a2ad87e5b5238ff722c19fe8e0cd3d8c24ca8771e8cc2b81a9102,False,False,,,ipfs://bafybeiga664ykysrj75kcqvgdsyto5ot5qr6ecfwifuqip7nw3b76yomsu/,,,,True Negative: Skipped host (127.0.0.1)
