uri,error,response_status,content_type,is_ipfs_url,metadata,is_ipfs_second_url,img_field,second_response_status,perc_hash_32,perc_hash_64,image_error,metadata_error,extra_fields,response_time,second_url,response_2_time
0,0,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,
https://api.avengersnft.com/api/v1/nft/anft/metadata/1230.json,"timeout_or_conn_err: Cannot connect to host api.avengersnft.com:443 ssl:default [Connect call failed ('159.198.66.99', 443)]",,,,,,,,,,,,,,,
QmW4tt68ARnU98ECaJt5h6Yo1KA7FtPMYZZaeub7WnBAW6,QmW4tt68ARnU98ECaJt5h6Yo1KA7FtPMYZZaeub7WnBAW6,,,,,,,,,,,,,,,
https://nft.nemogem.com/959,timeout_or_conn_err: Cannot connect to host nft.nemogem.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
cznft://insight/insight-007-1851,cznft://insight/insight-007-1851,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,
cznft://insight/insight-047-9892,cznft://insight/insight-047-9892,,,,,,,,,,,,,,,
https://meta.heroesempires.com/heroes/6359008182,timeout_or_conn_err: Cannot connect to host meta.heroesempires.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
http://127.0.0.1:5173/nft-metadata/1.json,"timeout_or_conn_err: Cannot connect to host 127.0.0.1:5173 ssl:default [Connect call failed ('127.0.0.1', 5173)]",,,,,,,,,,,,,,,
https://biswap.org/back/nft/metadata/56601,,403,text/html; charset=utf-8,False,,,,,,,,other content/parsing failed,,0.1928112506866455,,
https://app.heroverse.io/api/hero-metadata/13795,timeout_or_conn_err: Cannot connect to host app.heroverse.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
Binance-Peg USD Coin,Binance-Peg%20USD%20Coin,,,,,,,,,,,,,,,
group6175,group6175,,,,,,,,,,,,,,,
cznft://insight/insight-100-10215,cznft://insight/insight-100-10215,,,,,,,,,,,,,,,
cznft://insight/insight-099-10210,cznft://insight/insight-099-10210,,,,,,,,,,,,,,,
https://example.com/1.json,,404,text/html,False,,,,,,,,other content/parsing failed,,0.20801329612731934,,
ipfs://QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd/page-021.json,,404,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.2029726505279541,,
ipfs://todo/1,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.5116050243377686,,
https://nft.lingape.com/json/2.json,,200,text/html,False,,,,,,,,other content/parsing failed,,0.4508240222930908,,
https://gateway.pinata.cloud/ipfs/QmWtA2meTJEKKRb4wZcTLwPNTqF5eYRqrgEL73XtXrRXbP/1,,404,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.4880192279815674,,
https://gas.zkl.app/5000582,timeout_or_conn_err: Cannot connect to host gas.zkl.app:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://api.nexora.io/metadata/legacy/architect/1,timeout_or_conn_err: Cannot connect to host api.nexora.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://dayofrights.org/api/card/json/12710,timeout_or_conn_err: Cannot connect to host dayofrights.org:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
http://prod-dpk-ser.dontplaywithkitty.io/api/chain/cat/info/100004959,timeout_or_conn_err: Cannot connect to host prod-dpk-ser.dontplaywithkitty.io:80 ssl:default [Name or service not known],,,,,,,,,,,,,,,
ipfs://QmTestNFT2,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.31773948669433594,,
https://nft.api.mousehaunt.com/public/mice/29942,,500,application/json,False,True,,False,,,,,,['message'],0.6565608978271484,,
ipfs://QmUNFMFPyRWSEKgj7KLWLWC4KLTWtPK62P86XaYprgvoJJ/0,,200,application/json,True,True,,False,,,,,,"['external_url', 'properties', 'attributes', 'description', 'name']",0.46248579025268555,,
379,379,,,,,,,,,,,,,,,
https://api.nexora.io/metadata/legacy/ember/1,timeout_or_conn_err: Cannot connect to host api.nexora.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreie5k4ek3jbeloehzukhwavfewzfgke3a36pbnslg5scwkg7di7nhm1,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.27890801429748535,,
https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreihoggvh6hcchextjxemtz2f53rdn3hsikctaddja3kzwxp4bi6nfy1,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.4052145481109619,,
https://api.lulumart.app/v1/collectible/metadata/10871215192/0,,404,text/plain; charset=utf-8,False,True,,False,,,,,,['error_msg'],0.7892811298370361,,
https://freedomofnft.xyz/metadata/1.json,,404,text/plain; charset=utf-8,False,,,,,,,,other content/parsing failed,,0.4527597427368164,,
https://trantor.xyz/api/metadata/56/34174,,200,text/html,False,,,,,,,,other content/parsing failed,,0.5758733749389648,,
https://beta-api.mar3.ai/api/metadata/1393,timeout_or_conn_err: Cannot connect to host beta-api.mar3.ai:443 ssl:default [Temporary failure in name resolution],,,,,,,,,,,,,,,
https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.3393065929412842,,
ipfs://test/1.json,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.25357580184936523,,
1235,1235,,,,,,,,,,,,,,,
https://klaythreekingdomsland.s3.ap-northeast-2.amazonaws.com/metadata/455,,404,application/xml,False,,,,,,,,other content/parsing failed,,0.9308497905731201,,
"{""name"":""Circle Mystery Box NFT"",""description"":""You have received this Mystery Box as part of our revenue share! Holders of the NFT can exchange this for USDC rewards. For more information visit: https://reward-circle.org"",""image"":""https://white-many-anaconda-682.mypinata.cloud/ipfs/QmUHStvNPg1VmER1S7dBykFM8xDpnnckRaNDecEdBPeAep"",""external_url"":""https://reward-circle.org""}",,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.28110170364379883,,
https://s3-nswap-base.nswap.com/metadata/leggi/6259,timeout_or_conn_err: Cannot connect to host s3-nswap-base.nswap.com:443 ssl:default [Temporary failure in name resolution],,,,,,,,,,,,,,,
https://vcn8888.com/nft/Mercury.json,"timeout_or_conn_err: Cannot connect to host vcn8888.com:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)')]",,,,,,,,,,,,,,,
https://xstockssurpport.github.io/BxautBsc/nft-metadata/1.json,,404,text/html; charset=utf-8,False,,,,,,,,other content/parsing failed,,0.626723051071167,,
ipfs://QmTest123,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.6208436489105225,,
https://gateway.pinata.cloud/ipfs/QmdncQS6fuZKW4q5CzAmXLz3wVFYEibeNpW6RbtCquZAUh/RARE.json,,200,application/json,True,True,,False,,,,,,"['description', 'external_url', 'animation_url', 'name', 'attributes']",0.32607340812683105,,
https://apinft.bunnygirlnft.com/metadata/genesis/2340,timeout_or_conn_err: Cannot connect to host apinft.bunnygirlnft.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://api.adventepoch.com/roles/1.json,timeout_or_conn_err: Cannot connect to host api.adventepoch.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://api.defusion.ai/api/v1/metadata/bnbchain/4011865825,timeout_or_conn_err: Cannot connect to host api.defusion.ai:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://reiki.web3go.xyz/aibot-nft-metadata?id=7695&,timeout_or_conn_err: Cannot connect to host reiki.web3go.xyz:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
ipfs://bafybeifxvpks7tffp7ye545yrxtnnqgesyxpormp2etkglz4xyvkhitq2y/,,200,application/json,True,True,,False,,,,,,"['description', 'external_url', 'animation_url', 'author', 'image', 'name', 'attributes']",0.09820985794067383,,
https://api.talesofragnarok.io/v1/meta/avatar/1766,timeout_or_conn_err: Cannot connect to host api.talesofragnarok.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
