uri,error,response_status,content_type,is_ipfs_url,metadata,metadata_error,response_time,raw_json
https://public.nftstatic.com/static/nft/BSC/BMBMONSTERRA/1,,404,application/xml,False,,Not valid JSON or decoding failed,0.8995156288146973,
https://public.nftstatic.com/static/nft/BSC/BMBXPS/1,,404,application/xml,False,,Not valid JSON or decoding failed,0.8717904090881348,
https://public.nftstatic.com/static/nft/BSC/BMBKAKA/1,,404,application/xml,False,,Not valid JSON or decoding failed,0.8850665092468262,
https://dream-finance.herokuapp.com/assets/logo-34ff2880858181a98401c15a03f545ec4d82516a517b3f05cb5c8506dd9659a5.png,,404,text/html; charset=utf-8,False,,Not valid JSON or decoding failed,0.4240138530731201,
https://public.nftstatic.com/static/nft/BSC/HYAPER/1,,404,application/xml,False,,Not valid JSON or decoding failed,0.8569836616516113,
https://pvp.money/metadata/1.json,,404,text/html; charset=utf-8,False,,Not valid JSON or decoding failed,0.33594703674316406,
1.json,1.json,,,False,,,,
1.json,1.json,,,False,,,,
1.json,1.json,,,False,,,,
https://cybertune2.mypinata.cloud/ipfs/QmdWrESzDQu8GXj2YRHxPVMdcYANgEbJxLHVGp5j6Swa86,,200,application/json,True,True,,0.059001922607421875,"{""metadata_id"": ""27ecd4d2-e23c-4052-bfd0-02693ae5599c"", ""version"": ""1.0.0"", ""app_id"": ""cybertune"", ""lang"": ""en"", ""issue_date"": ""Sat, 19 Aug 2023 16:00:01 GMT"", ""content"": ""Quietly"", ""media"": [{""media_type"": ""audio/mpeg"", ""media_url"": ""ipfs://QmQZ4FV2Go9Dvwina2Nd3g7UNe4GmhvK2vPAfLUkuhk6wK"", ""alt_tag"": ""CyberTune Audio""}], ""tags"": [""""], ""image"": ""ipfs://QmRRQ5ien9ANcXMFKCxR33qMWAADfXUTJLqfFwgmW9y1fX"", ""name"": ""Guano Apes"", ""description"": ""Quietly"", ""animation_url"": ""ipfs://QmQZ4FV2Go9Dvwina2Nd3g7UNe4GmhvK2vPAfLUkuhk6wK"", ""external_url"": ""https://cybertune.xyz/u/spektorkill.cyber"", ""attributes"": [{""trait_type"": ""type"", ""value"": ""AUDIO""}, {""trait_type"": ""author"", ""value"": ""spektorkill.cyber""}]}"
11.json,11.json,,,False,,,,
https://flapmonster.fun/nft/,timeout_or_conn_err: Cannot connect to host flapmonster.fun:443 ssl:default [[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1081)],,,False,,,,
QmP9yV42APdrWfTPLA4KtQiVjVc2qNxdPsxS5YdFiXdbcU,QmP9yV42APdrWfTPLA4KtQiVjVc2qNxdPsxS5YdFiXdbcU,,,False,,,,
https://racawebsource.s3-accelerate.amazonaws.com/harvard_land/metadata/r/,,404,application/xml,False,,Not valid JSON or decoding failed,0.45415759086608887,
https://public.nftstatic.com/static/nft/BSC/FAPE/1,,404,application/xml,False,,Not valid JSON or decoding failed,0.8463761806488037,
https://pltnode.xyz/mate/1,timeout_or_conn_err: ,,,False,,,,
https://pltnode.xyz/mate/1,timeout_or_conn_err: ,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
1,1,,,False,,,,
https://amaranth-quiet-jaguar-390.mypinata.cloud/ipfs/bafybeievwm3qpip26fl3kulgpmy3xsdp5zezgvfsqbpeifg3umitextj4y/scf.json,,200,application/json,True,True,,0.10371541976928711,"{""name"": ""SCF"", ""description"": ""SCF fixed-supply Flap dividend card. Each card has equal NFT dividend weight. Holding all 108 cards equals 100% of the NFT dividend share."", ""image"": ""https://amaranth-quiet-jaguar-390.mypinata.cloud/ipfs/bafybeia6q2ly2hwg5k77p4dgriztsgdoh4mltoainqpffuztcyczam35ha/1.jpg"", ""attributes"": [{""trait_type"": ""Dividend Weight"", ""value"": ""1""}, {""trait_type"": ""Max Supply"", ""value"": ""108""}, {""trait_type"": ""Image"", ""value"": ""Shared""}]}"
https://starshipremit.dailyremit.com/metadata/,,404,text/plain; charset=utf-8,False,,Not valid JSON or decoding failed,0.17090106010437012,
11.json,11.json,,,False,,,,
https://graphigo.prd.galaxy.eco/metadata/0x5a364f8af2326b36131acf4d6508cd47d731d94b/,,404,text/plain; charset=utf-8,False,,Not valid JSON or decoding failed,0.30044078826904297,
https://your-api.com/metadata/0000000000000000000000000000000000000000000000000000000000000001.json,"timeout_or_conn_err: Cannot connect to host your-api.com:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'your-api.com'. (_ssl.c:1081)"")]",,,False,,,,
https://public.nftstatic.com/static/nft/BSC/LWN/1,,404,application/xml,False,,Not valid JSON or decoding failed,0.8265566825866699,
https://alienhorrorapes.meta.rareboard.com/api/,,404,text/html; charset=utf-8,False,,Not valid JSON or decoding failed,0.4052309989929199,
11.json,11.json,,,False,,,,
https://amaranth-quiet-jaguar-390.mypinata.cloud/ipfs/bafybeievwm3qpip26fl3kulgpmy3xsdp5zezgvfsqbpeifg3umitextj4y/scf.json,,200,application/json,True,True,,0.09757804870605469,"{""name"": ""SCF"", ""description"": ""SCF fixed-supply Flap dividend card. Each card has equal NFT dividend weight. Holding all 108 cards equals 100% of the NFT dividend share."", ""image"": ""https://amaranth-quiet-jaguar-390.mypinata.cloud/ipfs/bafybeia6q2ly2hwg5k77p4dgriztsgdoh4mltoainqpffuztcyczam35ha/1.jpg"", ""attributes"": [{""trait_type"": ""Dividend Weight"", ""value"": ""1""}, {""trait_type"": ""Max Supply"", ""value"": ""108""}, {""trait_type"": ""Image"", ""value"": ""Shared""}]}"
https://ipfs.ultraverse.studio/ipfs/QmNjs8TxzsYwN4hKsbB4KJX8Rbhd3pSYAmtwKoxgy5Eqbo/,,200,text/html,True,,Not valid JSON or decoding failed,0.7604649066925049,
https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeicxpgx7d7pptgsic4pfazmpkvna2mir46kmbp2e2fffpcodi3pkmm/1.json,,200,application/json,True,True,,0.09614396095275879,"{""name"": ""FLAPixel #1"", ""description"": ""FLAPixel \\u2014 a 1025-piece pixel-art Pok\\u00e9mon collection on BSC, launched via FLAP. Token #1 reveals Oshawott (Pok\\u00e9dex #501)."", ""image"": ""https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeih4hvmb4gd6fptpnxhx245fk5m5z4bedar2wk7renr5iugktk7bkm/501.webp"", ""image_url"": ""https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeih4hvmb4gd6fptpnxhx245fk5m5z4bedar2wk7renr5iugktk7bkm/501.webp"", ""image_ipfs"": ""ipfs://bafybeih4hvmb4gd6fptpnxhx245fk5m5z4bedar2wk7renr5iugktk7bkm/501.webp"", ""external_url"": ""https://flap.sh/vault_man/FLAPixel"", ""attributes"": [{""trait_type"": ""Pok\\u00e9mon"", ""value"": ""Oshawott""}, {""trait_type"": ""Pok\\u00e9dex ID"", ""value"": 501}, {""trait_type"": ""Generation"", ""value"": 5}]}"
https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeicxpgx7d7pptgsic4pfazmpkvna2mir46kmbp2e2fffpcodi3pkmm/1.json,,200,application/json,True,True,,0.08997416496276855,"{""name"": ""FLAPixel #1"", ""description"": ""FLAPixel \\u2014 a 1025-piece pixel-art Pok\\u00e9mon collection on BSC, launched via FLAP. Token #1 reveals Oshawott (Pok\\u00e9dex #501)."", ""image"": ""https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeih4hvmb4gd6fptpnxhx245fk5m5z4bedar2wk7renr5iugktk7bkm/501.webp"", ""image_url"": ""https://cyan-mad-viper-620.mypinata.cloud/ipfs/bafybeih4hvmb4gd6fptpnxhx245fk5m5z4bedar2wk7renr5iugktk7bkm/501.webp"", ""image_ipfs"": ""ipfs://bafybeih4hvmb4gd6fptpnxhx245fk5m5z4bedar2wk7renr5iugktk7bkm/501.webp"", ""external_url"": ""https://flap.sh/vault_man/FLAPixel"", ""attributes"": [{""trait_type"": ""Pok\\u00e9mon"", ""value"": ""Oshawott""}, {""trait_type"": ""Pok\\u00e9dex ID"", ""value"": 501}, {""trait_type"": ""Generation"", ""value"": 5}]}"
https://mine.hashnetwork.live/api/nft/,,404,text/html,False,,Not valid JSON or decoding failed,0.14259576797485352,
"data:application/json;utf8,{""name"":""Blonk #1"",""description"":""Pre-reveal placeholder."",""image"":""data:image/svg+xml;utf8,<svg xmlns=%22http://www.w3.org/2000/svg%22 viewBox=%220 0 24 24%22><rect width=%2224%22 height=%2224%22 fill=%22%2328313d%22/><text x=%2212%22 y=%2213%22 font-size=%224%22 fill=%22%23fff5a3%22 text-anchor=%22middle%22>?</text></svg>""}","data:application/json;utf8,%7B%22name%22:%22Blonk%20#1%22,%22description%22:%22Pre-reveal%20placeholder.%22,%22image%22:%22data:image/svg+xml;utf8,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%2024%2024%22%3E%3Crect%20width=%2224%22%20height=%2224%22%20fill=%22%2328313d%22/%3E%3Ctext%20x=%2212%22%20y=%2213%22%20font-size=%224%22%20fill=%22%23fff5a3%22%20text-anchor=%22middle%22%3E?%3C/text%3E%3C/svg%3E%22%7D",,,False,,,,
https://oapotmutjqoddcvvhwic.supabase.co/functions/v1/flap-metadata/1.json,,404,application/json,False,True,,0.22305917739868164,"{""code"": ""NOT_FOUND"", ""message"": ""Requested function was not found""}"
"data:application/json;utf8,{""name"":""Blonk #0"",""description"":""Pre-reveal placeholder."",""image"":""data:image/svg+xml;utf8,<svg xmlns=%22http://www.w3.org/2000/svg%22 viewBox=%220 0 24 24%22><rect width=%2224%22 height=%2224%22 fill=%22%2328313d%22/><text x=%2212%22 y=%2213%22 font-size=%224%22 fill=%22%23fff5a3%22 text-anchor=%22middle%22>?</text></svg>""}","data:application/json;utf8,%7B%22name%22:%22Blonk%20#0%22,%22description%22:%22Pre-reveal%20placeholder.%22,%22image%22:%22data:image/svg+xml;utf8,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%2024%2024%22%3E%3Crect%20width=%2224%22%20height=%2224%22%20fill=%22%2328313d%22/%3E%3Ctext%20x=%2212%22%20y=%2213%22%20font-size=%224%22%20fill=%22%23fff5a3%22%20text-anchor=%22middle%22%3E?%3C/text%3E%3C/svg%3E%22%7D",,,False,,,,
https://source.legendnft.com/fragment/1.json,,200,text/html; charset=utf-8,False,,Not valid JSON or decoding failed,1.0449740886688232,
QmWedD4zrZ5oxAmAZD4qrWb263mJtkN8ux9xU7yK4heZRH,QmWedD4zrZ5oxAmAZD4qrWb263mJtkN8ux9xU7yK4heZRH,,,False,,,,
https://backend.play.gravitylabs.xyz/v1/metadata/1,"timeout_or_conn_err: Cannot connect to host backend.play.gravitylabs.xyz:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'backend.play.gravitylabs.xyz'. (_ssl.c:1081)"")]",,,False,,,,
https://www.standupamerica.io/NFT/json/24.json,timeout_or_conn_err: ,,,False,,,,
https://nft.9mm.pro/v3/bsc/1,,522,text/html; charset=utf-8,False,,Not valid JSON or decoding failed,19.76438331604004,
