ERROR_TYPE,COUNT,PERCENTAGE
True Negative: Skipped host (127.0.0.1),1007,50.38%
True Negative: Skipped host (example.com),47,2.35%
True Negative: Skipped host (localhost),39,1.95%
"True Negative: Dead Domain (HTTPSConnectionPool(host='forgai.io', port=443): Max retries exceeded with url: /nfa/metadata/1 (Caused by NameResolutio)",24,1.2%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.dingdong.game', port=443): Max retries exceeded with url: /nft/metadata/1 (Caused by NameR)",18,0.9%
"True Negative: Dead Domain (HTTPConnectionPool(host='mintnft.kabosu.world', port=80): Max retries exceeded with url: /nft/json/ (Caused by NameResol)",12,0.6%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.icw.gift', port=443): Max retries exceeded with url: /metadata/0000030000000001.json (Caus)",12,0.6%
"True Negative: Dead Domain (HTTPSConnectionPool(host='armadex.pages.dev', port=443): Max retries exceeded with url: /nft/collection.json (Caused by )",12,0.6%
"True Negative: Dead Domain (HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/0/contract.json (Caused by Na)",9,0.45%
"True Negative: Dead Domain (HTTPSConnectionPool(host='ghlenvxgqyjytgfpzuuh.supabase.co', port=443): Max retries exceeded with url: /storage/v1/objec)",9,0.45%
"True Negative: Dead Domain (HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /storage/v1/objec)",9,0.45%
"True Negative: Dead Domain (HTTPSConnectionPool(host='sosalkaprivet.pages.dev', port=443): Max retries exceeded with url: /nft/collection.json (Caus)",9,0.45%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.bnb.predict.fun', port=443): Max retries exceeded with url: /v1/market-outcome/ (Caused by)",9,0.45%
"True Negative: Dead Domain (HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Voucher/1)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Gift/2/me)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Base/1/me)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/1/contract.json (Caused by Na)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/2/contract.json (Caused by Na)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/3/contract.json (Caused by Na)",6,0.3%
True Negative: Skipped host (api.example.com),6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/sec)",6,0.3%
True Negative: Skipped host (placeholder-uri),6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='metadata.pennywhale.io', port=443): Max retries exceeded with url: /masternode/ (Caused by Nam)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.shll.run', port=443): Max retries exceeded with url: /api/metadata/1 (Caused by NameResolu)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.bakeryswap.org', port=443): Max retries exceeded with url: /nft/musk-usm-land/ (Caused by )",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.znsconnect.io', port=443): Max retries exceeded with url: /v1/metadata/56/1 (Caused by Nam)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/bad)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/nft)",6,0.3%
"True Negative: Dead Domain (HTTPConnectionPool(host='sosalkaprivet2.pages.dev', port=80): Max retries exceeded with url: /nft/collection.json (Cause)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='qweasdzxcf.pages.dev', port=443): Max retries exceeded with url: /nft/metadata.json (Caused by)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='nft.transvoucher.com', port=443): Max retries exceeded with url: /TransVoucherNFT.json (Caused)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /community-nft-v2/1 (Caused by NameResol)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /node-nft-v2/1 (Caused by NameResolution)",6,0.3%
"True Negative: Dead Domain (HTTPSConnectionPool(host='metadata.qorpo.world', port=443): Max retries exceeded with url: /cc/lootbox.json (Caused by N)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='cyrusfinance.xyz', port=443): Max retries exceeded with url: /api/nft/position/1 (Caused by Na)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmUybAtJ9JE42pEGzLRuWKe)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='12divinebeasts.art', port=443): Max retries exceeded with url: /nfts-test5/metadata/1.json (Ca)",3,0.15%
"True Negative: Dead Domain (HTTPConnectionPool(host='oss.aimallx.app', port=80): Max retries exceeded with url: /nft/0/contract.json (Caused by Name)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.nexiorwa.com', port=443): Max retries exceeded with url: /nftJson/0xFC9b85eC1De9F7987008a7)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='metadata.changeswap.io', port=443): Max retries exceeded with url: /nft/CsgSigma/profiles/1 (C)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmUW7FtWKYN6y1o9Rte3acE)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='metadata.vcgamers.com', port=443): Max retries exceeded with url: /nft/0x7c4590f72d1e154fc60c2)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='nft-api.inceptiongame.fun', port=443): Max retries exceeded with url: /dogeStatues/1 (Caused b)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='hero-api.defina.finance', port=443): Max retries exceeded with url: /cards/1001 (Caused by Nam)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='gateway.irys.xyz', port=443): Max retries exceeded with url: /J1UHpSfVo1NfxaFYFp2PPkoZSiQkECyx)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='data-platform.muaverse.build', port=443): Max retries exceeded with url: /public_api/boarding_)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='nftstorage.link', port=443): Max retries exceeded with url: /ipfs/bafybeia6nrlz74ulpwbe5su5jsx)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='aegis-protocol.io', port=443): Max retries exceeded with url: /agent/alpha (Caused by NameReso)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmP9pHLkQMmGpnp6dHiq7Qn)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='nft.nemogem.com', port=443): Max retries exceeded with url: /1 (Caused by NameResolutionError()",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='metadata.mones.io', port=443): Max retries exceeded with url: /heroes/1 (Caused by NameResolut)",3,0.15%
"True Negative: Dead Domain (HTTPSConnectionPool(host='api.invaderz.io', port=443): Max retries exceeded with url: /api/1 (Caused by NameResolutionEr)",3,0.15%
