Frequency,Count,Percentage,Error Type
1,1521,42.53%,metadata_fetch_failed
2,935,26.15%,"('execution reverted: 0x', '0x')"
3,356,9.96%,empty_uri
4,206,5.76%,('execution reverted: ERC721: invalid token ID: 0x08c379a000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000...
5,158,4.42%,"('0x7e2732890000000000000000000000000000000000000000000000000000000000000002', '0x7e273289000000000000000000000000000000000000000000000000000000000..."
6,158,4.42%,no_tokens_minted
7,154,4.31%,unsupported_token_uri
8,18,0.50%,('execution reverted: ERC721Metadata: URI query for nonexistent token: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000...
9,10,0.28%,('execution reverted: URI query for nonexistent token: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000...
10,8,0.22%,('execution reverted: Token does not exist: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000...
11,7,0.20%,"('0xceea21b6', '0xceea21b6')"
12,5,0.14%,"('0xa14c4b50', '0xa14c4b50')"
13,5,0.14%,"('0x7e2732890000000000000000000000000000000000000000000000000000000000000000', '0x7e273289000000000000000000000000000000000000000000000000000000000..."
14,4,0.11%,('execution reverted: ERC3525: invalid token ID: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000...
15,3,0.08%,('execution reverted: nonexistent token: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000...
16,2,0.06%,"('0x0f3342be', '0x0f3342be')"
17,2,0.06%,('execution reverted: NOT_MINTED: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000...
18,2,0.06%,"Could not decode contract function call to tokenURI(uint256) with return data: b'', output_types: ['string']"
19,2,0.06%,"('execution reverted: Token does not exist', '0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000..."
20,2,0.06%,('execution reverted: no native: 0x08c379a000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000...
21,2,0.06%,('execution reverted: Invalid token ID: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000...
22,1,0.03%,('execution reverted: NFT不存在: 0x08c379a000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000...
23,1,0.03%,"('0x44943622', '0x44943622')"
24,1,0.03%,"('0xe22e27eb2f7936b8495066aab3afc3c95f154c8005d0d837fd0779b2eaacf717d5195afb0000000000000000000000000000000000000000000000000000000000000003', '0xe..."
25,1,0.03%,('execution reverted: URI no configurada para esta categoria: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000...
26,1,0.03%,('execution reverted: DexRoy: Contract does not accept ETH: 0x08c379a000000000000000000000000000000000000000000000000000000000000000200000000000000...
27,1,0.03%,('execution reverted: No token: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000...
28,1,0.03%,('execution reverted: TRC721Metadata: URI query for nonexistent token: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000...
29,1,0.03%,('execution reverted: 33: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000...
30,1,0.03%,('execution reverted: token not exists: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000...
31,1,0.03%,'utf-8' codec can't decode byte 0xa0 in position 63: invalid start byte
32,1,0.03%,('execution reverted: TreeNFT: URI query for nonexistent token: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000...
33,1,0.03%,('execution reverted: Nonexistent token: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000...
34,1,0.03%,"('0xb0ce7591', '0xb0ce7591')"
35,1,0.03%,('execution reverted: VibeNft: URL not set: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000...
36,1,0.03%,"('Panic error 0x12: Division by zero.', '0x4e487b710000000000000000000000000000000000000000000000000000000000000012')"
37,1,0.03%,('execution reverted: RenaissRegistry: Nonexistent token.: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000...
