ERROR_TYPE,COUNT,PERCENTAGE
"No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: 0x', '0x')",1357,43.63%
Invalid URI: unsupported scheme in '1',76,2.44%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreibmfksg3omuga2yb6plcuivkrk35itjv5i5ozrqrqj3gxo24yljxy.json,16,0.51%
[http] Invalid URI: skipped host 'example.com',16,0.51%
Invalid URI: unsupported scheme in '1.json',14,0.45%
[http] Invalid URI: skipped host 'localhost',13,0.42%
Invalid URI: unsupported scheme in 'ipfs:/',12,0.39%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json,10,0.32%
Invalid URI: unsupported scheme in 'ipfs://',9,0.29%
"Network Error: HTTPSConnectionPool(host='forgai.io', port=443): Max retries exceeded with url: /nfa/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='forgai.io', port=443): Failed to resolve 'forgai.io' ([Errno -2] Name or service not known)""))",8,0.26%
"Network Error: HTTPSConnectionPool(host='api.dingdong.game', port=443): Max retries exceeded with url: /nft/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.dingdong.game', port=443): Failed to resolve 'api.dingdong.game' ([Errno -2] Name or service not known)""))",6,0.19%
Network Error: 404 Client Error: Not Found for url: https://apis.avacus.cc/1/connect/public/collections,6,0.19%
Invalid URI: unsupported scheme in '11.json',5,0.16%
"On-Chain Parse Error: <string>:1 Unexpected ""5"" at column 126",5,0.16%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmVezjboT3AW77ghPYAjBkxiAXUPqTNJfK6DjpdapyVVuw,5,0.16%
"Network Error: HTTPSConnectionPool(host='nft.loops.finance', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1081)')))",5,0.16%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/dream-card/card.json,4,0.13%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi.json,4,0.13%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmfZWVXaDWFEtgsMRWGGJ7gFU6enjVuHTBWmmhvf6swUcz.json,4,0.13%
"No URI found on contract (even with exact ID) — Last revert/error: Could not decode contract function call to metadataURI(uint256) with return data: b'', output_types: ['string']",4,0.13%
Invalid URI: unfilled template literal in 'https://finchip.ai/metadata/{id}.json',4,0.13%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmYzEYV1mcRnx44MKH4n7EbtvKaWbMVaLXd44Av7EUhZAZ,4,0.13%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmciK9TD824Bg7N696ofYBcdZjvvQuRENzgy1C8agcmB5Z,4,0.13%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmExampleMetadata.json,4,0.13%
"On-Chain Parse Error: <string>:1 Unexpected """,4,0.13%
Network Error: 404 Client Error: Not Found for url: https://sape-imgs-real.vercel.app/images/,4,0.13%
Network Error: 404 Client Error: Not Found for url: https://bounty-kinds.com/api/nfts/metadata/,4,0.13%
"Network Error: HTTPConnectionPool(host='mintnft.kabosu.world', port=80): Max retries exceeded with url: /nft/json/ (Caused by NameResolutionError(""HTTPConnection(host='mintnft.kabosu.world', port=80): Failed to resolve 'mintnft.kabosu.world' ([Errno -2] Name or service not known)""))",4,0.13%
"Network Error: HTTPSConnectionPool(host='api.icw.gift', port=443): Max retries exceeded with url: /metadata/0000030000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='api.icw.gift', port=443): Failed to resolve 'api.icw.gift' ([Errno -2] Name or service not known)""))",4,0.13%
"Network Error: HTTPSConnectionPool(host='armadex.pages.dev', port=443): Max retries exceeded with url: /nft/collection.json (Caused by NameResolutionError(""HTTPSConnection(host='armadex.pages.dev', port=443): Failed to resolve 'armadex.pages.dev' ([Errno -2] Name or service not known)""))",4,0.13%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6.json,3,0.1%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmTest123.json,3,0.1%
Invalid URI: unsupported scheme in 'Binance-Peg USD Coin',3,0.1%
"No URI found on contract (even with exact ID) — Last revert/error: ('0x67fe1ffb0c18384300000000000000000000000000000000000000000000000000000000', '0x67fe1ffb0c18384300000000000000000000000000000000000000000000000000000000')",3,0.1%
"On-Chain Parse Error: <string>:1 Unexpected "":"" at column 14",3,0.1%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmCustomAgent1770209752552.json,3,0.1%
[http] Network Error: 403 Client Error: Forbidden for url: https://cdn.pixabay.com/,3,0.1%
"Network Error: HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /community-nft-v2/1 (Caused by NameResolutionError(""HTTPSConnection(host='h2o.local', port=443): Failed to resolve 'h2o.local' ([Errno -2] Name or service not known)""))",3,0.1%
