CATEGORY,COUNT,PERCENTAGE
No URI found on contract (even with exact ID) — Last revert/error,1434,50.94%
[http] Network Error,889,31.58%
Invalid URI,172,6.11%
[ipfs_gateway] Network Error,165,5.86%
"[http] Server returned an empty body (HTTP 200, from https",42,1.49%
[http] Invalid URI,41,1.46%
On-Chain Parse Error,29,1.03%
[http] Server returned HTML instead of JSON (from https,23,0.82%
[ipfs_gateway] Server returned HTML instead of JSON (from http,13,0.46%
[http] JSON parse failed (from https,4,0.14%
[ipfs_gateway] JSON parse failed (from http,2,0.07%
[arweave] Network Error,1,0.04%
