uri,error,response_status,content_type,is_ipfs_url,metadata,metadata_error,response_time,raw_json
ipfs://stage-a-6-local-expert,,400,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,0.05548596382141113,
ipfs://agi-node/0000000000000000000000000000000000000000000000000000000000000001.json,,400,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,0.044516801834106445,
ipfs://bafybeibdp2jnjprh2vvbrs4edp3q67kgkkyskavikwl4cjhxnpdb4336h4,,200,text/html,True,,Not valid JSON or decoding failed,0.3222954273223877,
ipfs://dream-card/card.json,,400,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,0.04883527755737305,
https://ipfs.io/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,30.029588222503662,
https://metadata.qorpo.world/cc/lootbox.json,timeout_or_conn_err: Cannot connect to host metadata.qorpo.world:443 ssl:default [Name or service not known],,,False,,,,
https://lab.rwanftfi.com/v1/nft/info-blockchain/Voucher/1/metadata.json,timeout_or_conn_err: Cannot connect to host lab.rwanftfi.com:443 ssl:default [No address associated with hostname],,,False,,,,
https://lab.rwanftfi.com/v1/nft/info-blockchain/Gift/2/metadata.json,timeout_or_conn_err: Cannot connect to host lab.rwanftfi.com:443 ssl:default [No address associated with hostname],,,False,,,,
https://lab.rwanftfi.com/v1/nft/info-blockchain/Base/1/metadata.json,timeout_or_conn_err: Cannot connect to host lab.rwanftfi.com:443 ssl:default [No address associated with hostname],,,False,,,,
https://lab.rwanftfi.com/v1/nft/info-blockchain/Gift/2/metadata.json,timeout_or_conn_err: Cannot connect to host lab.rwanftfi.com:443 ssl:default [No address associated with hostname],,,False,,,,
ipfs://QmXGPaQPYnSYnGbLbBRKJYyMnRFvYbc8wHSKDnxUMVkTcr,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,30.02181887626648,
ipfs://QmVHPRsteAsiWEvUgZfhXDiTj8C3kzWmumb9uFehW8sxz3,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,30.020668268203735,
ipfs://agi-node/0000000000000000000000000000000000000000000000000000000000000001.json,,400,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,0.03345656394958496,
https://ipfs.io/ipfs/bafybeid6hsnrfs5q7czwlsa36vrrix3hjmhjdzq5s4sesiay5ecz3agity/,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,30.015631914138794,
https://lab.rwanftfi.com/v1/nft/info-blockchain/Voucher/1/metadata.json,timeout_or_conn_err: Cannot connect to host lab.rwanftfi.com:443 ssl:default [No address associated with hostname],,,False,,,,
ipfs://bafybeicg5brk2jsbl32dqt7wgg5hnremuq3l4iswjso6fpdeoctwnobfa4/1.json,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,30.012529611587524,
https://cyrusfinance.xyz/api/nft/position/1,timeout_or_conn_err: Cannot connect to host cyrusfinance.xyz:443 ssl:default [Name or service not known],,,False,,,,
https://ipfs.io/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,30.010671138763428,
https://lab.rwanftfi.com/v1/nft/info-blockchain/Base/1/metadata.json,timeout_or_conn_err: Cannot connect to host lab.rwanftfi.com:443 ssl:default [No address associated with hostname],,,False,,,,
https://ipfs.featured.market/ipfs/QmUybAtJ9JE42pEGzLRuWKeJfZbJXNgrhi6hDMLRbe84Cu,,200,application/json,True,True,,0.0360875129699707,"{""name"": ""Binance Coin - AD 2017"", ""description"": ""Whilst planning his next move, he turned over a glossy magazine with his face on the cover. \\""When will you be home?\\"" - \\""I hope next week\\"". His restlessness was unbearable. Determined, he packed a document folder labeled \\""Smart Chain\\""."", ""image"": ""https://ipfs.featured.market/ipfs/QmV3YYrjRDWMXZqc5Cvdzy9nQi8HsZx4YE1PdRnPD2LTWN"", ""external_url"": ""https://depay.fi/nfts/token-evolution/binance-coin"", ""attributes"": {""thumbnail_url"": ""https://ipfs.featured.market/ipfs/QmaHJeQoUoEVJVLp38Drg3n4BeuwRcM6VcYKbzxYcindYh"", ""content_type"": ""video/mp4""}}"
ipfs://dream-card/card.json,,400,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,0.01021432876586914,
ipfs://bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi,,200,text/html,True,,Not valid JSON or decoding failed,0.2034454345703125,
https://12divinebeasts.art/nfts-test5/metadata/1.json,timeout_or_conn_err: Cannot connect to host 12divinebeasts.art:443 ssl:default [Name or service not known],,,False,,,,
ipfs://bafkreibcsobcxlv2gwlo7j5txjzagxkhxxgkpl4xkvicf3pw5yjbvikkxe/1,,404,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,0.02420783042907715,
