address,first_seen_block,name,symbol,decimals,total_supply,is_erc721,is_erc1155,detected_type,last_updated_unix,first_seen_txhash,interface_conflict,has_url,found_in,extracted_urls,token_id,token_uri,meta_name,meta_description,meta_image,error
0x818ae6d65e4d5e3c3188a5b7644fc9b8caa6f575,98810184,flap首个nft生态,财翼,,,1.0,0.0,ERC721,1780911872,0x77deb74b094bbc4dfe1dea7db05331a20b777459ecf52a8814bd89f688d7e19f,False,False,,,1,https://flapcaiyi.life/api/nfa-metadata/1.json,,,,"[http] Network Error: HTTPSConnectionPool(host='flapcaiyi.life', port=443): Max retries exceeded with url: /api/nfa-metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='flapcaiyi.life', port=443): Failed to resolve 'flapcaiyi.life' ([Errno -2] Name or service not known)""))"
0x711d39cb3c9bf4d99ba3e9f61b93a5f1cbcc38b8,98791902,财翼NFT,财翼,,,1.0,0.0,ERC721,1780901278,0xac80239f6ce5c2e8fe4eb6c4510e5f329779ac7ba635b60d2c86687723573749,False,False,,,1,https://flapcaiyi.life/api/nfa-metadata/1.json,,,,"[http] Network Error: HTTPSConnectionPool(host='flapcaiyi.life', port=443): Max retries exceeded with url: /api/nfa-metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='flapcaiyi.life', port=443): Failed to resolve 'flapcaiyi.life' ([Errno -2] Name or service not known)""))"
0xb75ed99ae080cdd18fc62bc4cd85bf96a7677f04,98779042,Moth Orchid,Moth Orchid,,,1.0,0.0,ERC721,1780893922,0xc132da4dca7b1ca026ffe37e0fb13113fb509599c42ee05c437afb5b18d7ecbc,False,False,,,1,http://oslht.aidaoas.com/uploads/image/20231014180307.png,,,,"[http] Network Error: HTTPConnectionPool(host='oslht.aidaoas.com', port=80): Max retries exceeded with url: /uploads/image/20231014180307.png (Caused by NameResolutionError(""HTTPConnection(host='oslht.aidaoas.com', port=80): Failed to resolve 'oslht.aidaoas.com' ([Errno -2] Name or service not known)""))"
0x8bc9a768d38991a4c2c4c328d0c57b7de9228162,98778735,Moth Orchid,Moth Orchid,,,1.0,0.0,ERC721,1780893751,0x81be66a7ee7e4b178df084dd92556d0ba5d4b699ce958d62336477e4cab1d0e3,False,False,,,1,http://oslht.aidaoas.com/uploads/image/20231014180307.png,,,,"[http] Network Error: HTTPConnectionPool(host='oslht.aidaoas.com', port=80): Max retries exceeded with url: /uploads/image/20231014180307.png (Caused by NameResolutionError(""HTTPConnection(host='oslht.aidaoas.com', port=80): Failed to resolve 'oslht.aidaoas.com' ([Errno -2] Name or service not known)""))"
0x1bd8419b243a1d68927b11c10193830c19ba6ff0,98721081,aelf SummerFest,aelf-Fest,,147,1.0,0.0,ERC721,1780850528,0x0fb6b15c0aa2c1f8996cc1c90b483f35966bfef52576faf4b5a175cff781b8f2,False,False,,,1509757013360435828501352844873099317723680087662272058941802173956164,https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/0aaf5cc17e89023bcbd510a961b9aba5,,,,[http] Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/0aaf5cc17e89023bcbd510a961b9aba5
0xf7a21ffb762ef2c14d8713b18f5596b4b0b0490a,98713668,treasureland.dego,TRSRNFT,,9813,1.0,0.0,ERC721,1780846698,0x004690c91db19cc44f705fb4a7562b58cb35910fb0476ee64e91c6ced0b3700e,False,True,name,treasureland.dego,1,https://api.treasureland.market/v2/lazy_mint/1,,,,"[http] Network Error: HTTPSConnectionPool(host='api.treasureland.market', port=443): Max retries exceeded with url: /v2/lazy_mint/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.treasureland.market', port=443): Failed to resolve 'api.treasureland.market' ([Errno -2] Name or service not known)""))"
0xabb884281379c593cfbdb0500163735e3c610c1f,98692240,Big Winner,BWNFT,,,1.0,0.0,ERC721,1780837425,0xc7224d61fa481ce3698dbe214dec6a6fe7e27c8f8c95b7f856c77a6ae82c4dae,False,False,,,,,,,,"No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: 0x', '0x')"
0xfa7ce4bc043a5706c4a706b12b63b27e441d7897,98690129,ShitPunks,SHITPUNK,,10000,1.0,0.0,ERC721,1780836448,0xb6b952231defaa1cd0771b4f273d9c7dad16414873c193b5fa8be3d3804e104c,False,False,,,1,https://acy9375pq6.execute-api.us-east-1.amazonaws.com/shitPunkMeta?index=1,,,,"[http] Network Error: HTTPSConnectionPool(host='acy9375pq6.execute-api.us-east-1.amazonaws.com', port=443): Max retries exceeded with url: /shitPunkMeta?index=1 (Caused by NameResolutionError(""HTTPSConnection(host='acy9375pq6.execute-api.us-east-1.amazonaws.com', port=443): Failed to resolve 'acy9375pq6.execute-api.us-east-1.amazonaws.com' ([Errno -2] Name or service not known)""))"
0xf6d5e0690bcabe57c7b6da325011af707714c515,98667318,HashNetwork Boost,HASHBOOST,,3,1.0,0.0,ERC721,1780826459,0x08ebaabfd834b9e347f38f810e9f2e37d1453a7fe10d0ecc8903392228cde8bd,False,False,,,,,,,,"No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: 0x', '0x')"
0x77eed8b01597a1d3d6bd71caaffa4fcc51926f56,98632577,星溯NFT,星溯NFT,,,1.0,0.0,ERC721,1780808111,0x7f824c1d5a9be50b9ddc0243194342aa55dc18714f703b78820f0ad2f3008826,False,False,,,,,,,,"No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: 0x', '0x')"
