uri,error,response_status,content_type,is_ipfs_url,metadata,metadata_error,response_time,raw_json
0,0,,,False,,,,
https://gateway.irys.xyz/J1UHpSfVo1NfxaFYFp2PPkoZSiQkECyxpRpZvBGxKVeA,,200,image/jpeg,False,,Not valid JSON or decoding failed,1.3715753555297852,
https://picsum.photos/seed/unvault-roundtrip/400/400?token=0,,200,image/jpeg,False,,Not valid JSON or decoding failed,0.5473339557647705,
https://ipfs.loncher.fun/ipfs/QmbuBR2NRyVUGZNFLocm69917CQHGWY5n4qJZVnKJEJdfm/644.json,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,60.16645264625549,
ipfs://bafybeieelbnj67v5hht52dz5jbed4xacfgizo5ff3l2hhzjjs4dq5jhlgu/139.token.json,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,60.177757024765015,
https://ipfs.io/ipfs/QmSfCEuh7HRt65yXftu54UEJHuM7PmEy5HRDtbvQZBqk2L,,200,image/jpeg,True,,Not valid JSON or decoding failed,0.29332971572875977,
https://ipfs.io/ipfs/QmfZWVXaDWFEtgsMRWGGJ7gFU6enjVuHTBWmmhvf6swUcz,timeout_or_conn_err: ,,,True,,,,
https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/8724b52dc07f16fdd8b9616eb1f07c12,timeout_or_conn_err: ,,,False,,,,
https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/1f462bb8e57e6d7489ab7b8cc58ab675,timeout_or_conn_err: ,,,False,,,,
https://nftstorage.link/ipfs/bafybeia6nrlz74ulpwbe5su5jsxukfkp2rjqueic2h52gb4ib4a63h6biq/10.json,,504,text/plain; charset=utf-8,True,,Not valid JSON or decoding failed,60.13942527770996,
https://aegis-protocol.io/agent/alpha,timeout_or_conn_err: Cannot connect to host aegis-protocol.io:443 ssl:default [Name or service not known],,,False,,,,
https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/efe213d44e2bc0f7a924079862d6e273,timeout_or_conn_err: ,,,False,,,,
https://nft.lingape.com/json/1.json,,200,text/html,False,,Not valid JSON or decoding failed,0.9479730129241943,
ipfs://bafybeih4k6m376zaow72k44pxkpji522a4imur4bttiu7khasekwdjhzoi/7,,200,application/json,True,True,,0.1911015510559082,"{""name"": ""CCC-108Leader #7"", ""description"": ""CCC-108Leader official NFT seat for the CCC protocol."", ""image"": ""ipfs://bafybeic2df4cpevxsonmiimqixcdsozwhrfktizxganz3ggpej3gikftdm/nft-007.webp"", ""external_url"": """", ""attributes"": [{""trait_type"": ""Collection"", ""value"": ""CCC-108Leader""}, {""trait_type"": ""Seat"", ""value"": 7}, {""trait_type"": ""PowerType"", ""value"": ""Opening Fixed Power""}]}"
